Date,High,Low,Open,Close,Volume,Adj Close
2019-04-12,556.7000122070312,545.2999877929688,547.9500122070312,554.8499755859375,4347530.0,550.2197875976562
2019-04-15,569.2000122070312,552.0,555.0,566.2999877929688,2252373.0,561.57421875
2019-04-16,571.75,556.5999755859375,570.0,559.3499755859375,2246831.0,554.6821899414062
2019-04-18,566.6500244140625,553.2000122070312,562.0,561.5499877929688,2306549.0,556.8638916015625
2019-04-22,566.0,556.5999755859375,560.0,561.0999755859375,1205612.0,556.4176025390625
2019-04-23,575.9500122070312,560.4000244140625,562.5,561.7000122070312,2179959.0,557.0126342773438
2019-04-24,564.5,553.2000122070312,561.4000244140625,558.5499877929688,1896565.0,553.888916015625
2019-04-25,563.9500122070312,551.1500244140625,558.7000122070312,555.5999755859375,2416194.0,550.9635009765625
2019-04-26,572.9000244140625,557.2000122070312,558.25,567.9500122070312,2593397.0,563.21044921875
2019-04-30,571.0499877929688,558.6500244140625,569.9000244140625,565.0,1914026.0,560.2850952148438
2019-05-02,569.7000122070312,556.7000122070312,563.0,565.5999755859375,1700976.0,560.8800659179688
2019-05-03,573.0,561.6500244140625,568.0,564.5,2758638.0,559.789306640625
2019-05-06,564.5,556.0,556.0,563.3499755859375,1715311.0,558.6488037109375
2019-05-07,566.2999877929688,555.1500244140625,564.0,557.9500122070312,1478212.0,553.2939453125
2019-05-08,561.4000244140625,549.0,556.0,558.0,1890174.0,553.3435668945312
2019-05-09,561.0499877929688,548.7000122070312,559.9000244140625,557.75,1672967.0,553.0955810546875
2019-05-10,562.7000122070312,551.0,557.75,555.5499877929688,1687480.0,550.9140014648438
2019-05-13,556.75,529.5999755859375,552.0,546.7000122070312,2027570.0,542.1378173828125
2019-05-14,560.75,541.2000122070312,546.0,556.0,1822829.0,551.3601684570312
2019-05-15,562.5,551.5,554.0,555.7000122070312,1396473.0,551.0626831054688
2019-05-16,556.7000122070312,541.0499877929688,554.0,550.2000122070312,2589467.0,545.608642578125
2019-05-17,551.9500122070312,541.0,549.0,544.1500244140625,1194005.0,539.6090698242188
2019-05-20,567.0,550.4000244140625,560.0,565.4500122070312,1586746.0,560.7313232421875
2019-05-21,580.0,552.75,565.4500122070312,559.3499755859375,4286383.0,554.6821899414062
2019-05-22,574.0,550.0499877929688,562.0,553.0,7762734.0,548.38525390625
2019-05-23,568.9000244140625,543.75,561.9000244140625,564.75,5640728.0,560.0371704101562
2019-05-24,572.5,559.4500122070312,569.2000122070312,570.5999755859375,1796355.0,565.83837890625
2019-05-27,586.0,568.0,570.0,578.7000122070312,1959075.0,573.8707885742188
2019-05-28,584.2000122070312,571.5,579.0,577.9500122070312,2469586.0,573.1270751953125
2019-05-29,582.4500122070312,559.9000244140625,577.4000244140625,564.3499755859375,1948077.0,559.6405029296875
2019-05-30,563.5,554.25,560.0999755859375,561.9500122070312,2577559.0,557.2605590820312
2019-05-31,569.0,550.8499755859375,562.7000122070312,558.8499755859375,1912387.0,554.1863403320312
2019-06-03,569.4500122070312,552.5,559.0,568.25,1284381.0,563.5079345703125
2019-06-04,575.0,561.0999755859375,564.0,562.6500244140625,1558827.0,557.9547119140625
2019-06-06,568.2999877929688,556.5499877929688,565.0,559.7999877929688,1750285.0,555.1284790039062
2019-06-07,565.0,542.0,565.0,549.5,2696228.0,544.9144287109375
2019-06-10,562.5999755859375,550.0,550.5999755859375,554.5499877929688,1708042.0,549.9223022460938
2019-06-11,566.4000244140625,551.0,555.4000244140625,559.8499755859375,2518184.0,555.1780395507812
2019-06-12,567.0,556.25,558.9000244140625,561.5999755859375,1253337.0,556.9134521484375
2019-06-13,566.5999755859375,559.25,560.0499877929688,564.5999755859375,1594956.0,559.8883666992188
2019-06-14,564.4500122070312,554.1500244140625,560.1500244140625,555.5999755859375,1808363.0,550.9635009765625
2019-06-17,556.5999755859375,543.8499755859375,555.5,545.1500244140625,1267159.0,540.6007690429688
2019-06-18,555.5,545.0499877929688,545.2000122070312,547.5999755859375,1257992.0,543.0302734375
2019-06-19,551.9000244140625,532.5499877929688,550.5999755859375,533.7000122070312,1137906.0,529.246337890625
2019-06-20,552.4500122070312,528.6500244140625,531.7999877929688,551.2999877929688,1986432.0,546.6994018554688
2019-06-21,553.7999877929688,545.2000122070312,549.8499755859375,551.5499877929688,1534007.0,546.9473266601562
2019-06-24,552.4500122070312,545.0999755859375,548.5499877929688,549.9000244140625,981017.0,545.3110961914062
2019-06-25,554.9500122070312,546.5499877929688,548.9500122070312,550.0499877929688,805704.0,545.4598388671875
2019-06-26,558.7999877929688,548.0,550.0,556.5499877929688,1020879.0,551.9055786132812
2019-06-27,563.9000244140625,550.2999877929688,556.8499755859375,551.9500122070312,1323494.0,547.343994140625
2019-06-28,556.7000122070312,546.3499755859375,551.9000244140625,553.4500122070312,996578.0,548.83154296875
