Date,High,Low,Open,Close,Volume,Adj Close
2019-04-12,7594.9501953125,7506.0,7572.0,7536.85009765625,180707.0,7530.1640625
2019-04-15,7580.0,7480.2998046875,7580.0,7509.14990234375,101240.0,7502.48779296875
2019-04-16,7620.0,7496.0,7548.0,7578.9501953125,128121.0,7572.2265625
2019-04-18,7595.0,7465.0,7593.0,7571.14990234375,162690.0,7564.43310546875
2019-04-22,7580.0,7455.35009765625,7580.0,7472.75,127023.0,7466.12060546875
2019-04-23,7533.0,7485.0,7488.0,7495.0498046875,110014.0,7488.40087890625
2019-04-24,7672.5,7475.5498046875,7490.0,7637.9501953125,133887.0,7631.173828125
2019-04-25,7735.9501953125,7625.0,7663.5,7669.5,288510.0,7662.69580078125
2019-04-26,7747.2001953125,7625.0,7685.10009765625,7721.25,109306.0,7714.400390625
2019-04-30,7730.0,7449.14990234375,7721.25,7520.4501953125,253399.0,7513.7783203125
2019-05-02,7625.0,7500.85009765625,7522.0,7578.85009765625,103551.0,7572.12646484375
2019-05-03,7669.89990234375,7590.0,7595.0,7624.2001953125,80422.0,7617.43603515625
2019-05-06,7699.75,7557.60009765625,7580.0,7667.9501953125,118824.0,7661.1474609375
2019-05-07,7698.75,7525.0,7684.0,7561.9501953125,103553.0,7555.24169921875
2019-05-08,7551.0,7312.2998046875,7550.0,7345.75,230383.0,7339.2333984375
2019-05-09,7494.2001953125,7278.0,7305.0,7467.2998046875,238193.0,7460.6748046875
2019-05-10,7528.9501953125,7351.0,7495.0,7383.7001953125,181924.0,7377.1494140625
2019-05-13,7416.2001953125,7303.25,7416.2001953125,7347.35009765625,111869.0,7340.83154296875
2019-05-14,7418.0,7226.0498046875,7320.14990234375,7365.7001953125,269637.0,7359.16552734375
2019-05-15,7535.0,7335.14990234375,7399.0,7454.7001953125,244031.0,7448.0869140625
2019-05-16,7663.14990234375,7422.0,7483.75,7617.4501953125,355788.0,7610.6923828125
2019-05-17,8029.75,7588.35009765625,7675.0,7992.9501953125,1012415.0,7985.859375
2019-05-20,8294.0,8056.0,8056.0,8235.0,343089.0,8227.6943359375
2019-05-21,8335.0,8100.0498046875,8239.0,8185.39990234375,379115.0,8178.13818359375
2019-05-22,8273.0,8102.0,8194.0,8221.5498046875,215233.0,8214.255859375
2019-05-23,8303.0,7980.0,8275.0,8013.2998046875,311471.0,8006.1904296875
2019-05-24,8185.0,7998.2998046875,8013.0,8151.7001953125,224594.0,8144.46826171875
2019-05-27,8250.0,8112.0,8150.0,8213.0498046875,169859.0,8205.763671875
2019-05-28,8242.5,8069.5,8200.0,8128.5498046875,263409.0,8121.33837890625
2019-05-29,8160.0,8055.14990234375,8128.39990234375,8131.75,106040.0,8124.53564453125
2019-05-30,8260.0,8120.0,8150.0,8226.900390625,211411.0,8219.6015625
2019-05-31,8279.0,8152.64990234375,8219.0,8187.9501953125,252199.0,8180.6865234375
2019-06-03,8365.0,8194.0,8194.0,8348.099609375,170966.0,8340.693359375
2019-06-04,8388.0,8292.349609375,8344.9501953125,8312.849609375,132333.0,8305.4755859375
2019-06-06,8362.7998046875,8102.10009765625,8329.0,8125.2001953125,176636.0,8117.9921875
2019-06-07,8245.0,8103.39990234375,8160.0,8202.349609375,159028.0,8195.0732421875
2019-06-10,8360.0,8226.7001953125,8260.0,8304.4501953125,186362.0,8297.08203125
2019-06-11,8339.099609375,8241.599609375,8310.0,8270.650390625,165578.0,8263.3134765625
2019-06-12,8288.599609375,8185.89990234375,8275.0,8245.599609375,125371.0,8238.2841796875
2019-06-13,8320.0,8213.0,8237.4501953125,8292.349609375,115153.0,8284.9931640625
2019-06-14,8315.0,8200.0,8287.0,8235.150390625,101331.0,8227.8447265625
2019-06-17,8244.0,8094.64990234375,8244.0,8121.2998046875,104058.0,8114.0947265625
2019-06-18,8275.0,8130.0,8144.0,8246.25,134711.0,8238.9345703125
2019-06-19,8310.0,8191.2998046875,8285.0,8257.0,130334.0,8249.6748046875
2019-06-20,8474.0,8177.0,8177.0,8417.849609375,143596.0,8410.3818359375
2019-06-21,8459.0,8363.5,8382.0,8392.4501953125,230915.0,8385.0048828125
2019-06-24,8432.0,8338.0,8392.4501953125,8354.650390625,107927.0,8347.2392578125
2019-06-25,8399.650390625,8327.0,8350.0,8346.150390625,108873.0,8338.74609375
2019-06-26,8437.9501953125,8304.099609375,8339.7001953125,8410.5,117884.0,8403.0390625
2019-06-27,8479.0,8400.2001953125,8405.2001953125,8443.900390625,157072.0,8436.4091796875
2019-06-28,8557.849609375,8423.7998046875,8443.900390625,8524.650390625,224278.0,8517.087890625
2019-07-01,8575.0,8503.0498046875,8548.0,8521.0498046875,102735.0,8513.490234375
2019-07-02,8549.0,8422.0,8549.0,8474.849609375,152306.0,8467.33203125
2019-07-03,8510.0,8405.599609375,8509.0,8430.4501953125,161661.0,8422.970703125
